Altitude (m),Temperature (deg C),Gravity (m/s2),Pressure (N/m2),Density (kg/m3),Dynamic Viscosity (N*s/m2)
20200,-56.36398654156221,9.744620319054203,5358.732639402363,0.08611304316135768,1.4223604976960593e-05
20300,-56.26462062647616,9.744314706914848,5275.4925697797635,0.08473656324962195,1.4229064036841843e-05
20400,-56.16525782769335,9.74400910915224,5193.585303527689,0.0833827433136766,1.4234521851103191e-05
20500,-56.065898145067166,9.74370352576548,5112.988865080417,0.08205119952459769,1.4239978420319108e-05
20600,-55.966541578451,9.743397956753666,5033.681651657519,0.08074155473736071,1.4245433745063768e-05
20700,-55.86718812769834,9.743092402115902,4955.6424267630355,0.07945343837127689,1.4250887825911019e-05
20800,-55.76783779266256,9.742786861851279,4878.850313801617,0.07818648629263333,1.425634066343441e-05
20900,-55.66849057319712,9.7424813359589,4803.284789808531,0.07694034069948019,1.4261792258207177e-05
21000,-55.56914646915547,9.742175824437858,4728.9256792920905,0.0757146500085348,1.4267242610802244e-05
21100,-55.469805480391074,9.741870327287259,4655.753148186101,0.07450906874415755,1.427269172179223e-05
21200,-55.37046760675736,9.741564844506195,4583.747697910411,0.07332325742936219,1.427813959174943e-05
21300,-55.27113284810784,9.74125937609377,4512.890159537742,0.07215688247882496,1.4283586221245851e-05
21400,-55.171801204296,9.740953922049084,4443.161688064469,0.07100961609384886,1.4289031610853171e-05
21500,-55.072472675175334,9.740648482371228,4374.543756783826,0.06988113615925232,1.429447576114276e-05
21600,-54.97314726059932,9.74034305705931,4307.018151759526,0.06877112614214413,1.429991867268569e-05
21700,-54.8738249604215,9.740037646112421,4240.566966397713,0.06767927499254558,1.4305360346052708e-05
21800,-54.77450577449537,9.739732249529668,4175.172596116062,0.06660527704583427,1.4310800781814258e-05
21900,-54.67518970267449,9.739426867310144,4110.817733107428,0.0655488319269633,1.431623998054048e-05
22000,-54.575876744812376,9.739121499452953,4047.485361196985,0.06450964445643248,1.4321677942801192e-05
22100,-54.47656690076258,9.738816145957191,3985.1587507910153,0.06348742455797704,1.4327114669165903e-05
22200,-54.37726017037869,9.738510806821958,3923.8214539151436,0.06248188716793336,1.4332550160203818e-05
22300,-54.27795655351423,9.738205482046355,3863.4572993414013,0.06149275214626601,1.433798441648383e-05
22400,-54.17865605002282,9.737900171629482,3804.050387801258,0.060519744189206026,1.4343417438574526e-05
22500,-54.079358659758014,9.737594875570435,3745.585087284244,0.05956259274348859,1.434884922704417e-05
